request_id,mode,seat_id,status,result,attempts,enqueued_at,worker_started_at,completed_at,processing_seconds,end_to_end_seconds,error
d0163d3a-370f-4a39-bbb2-be86d2721ffd,numbered,65554,completed,sold,1,2026-06-09 18:33:29.759906+00,2026-06-09 18:33:29.787173+00,2026-06-09 18:33:29.891852+00,0.104679,0.131946,
5ffd17d0-da13-4007-87b5-ce781017f519,numbered,25540,completed,sold,1,2026-06-09 18:33:30.258314+00,2026-06-09 18:33:30.278495+00,2026-06-09 18:33:30.382946+00,0.104451,0.124632,
d2f6e3dd-6278-47aa-a7a6-fa565a538483,numbered,59816,completed,sold,1,2026-06-09 18:33:30.758008+00,2026-06-09 18:33:30.779057+00,2026-06-09 18:33:30.883673+00,0.104616,0.125665,
2983b71c-bdef-4179-923c-2902dcbbc5e5,numbered,11008,completed,sold,1,2026-06-09 18:33:31.258076+00,2026-06-09 18:33:31.27817+00,2026-06-09 18:33:31.382529+00,0.104359,0.124453,
2f5a9242-8095-47a9-a92a-bf7ebc32a8a7,numbered,17169,completed,sold,1,2026-06-09 18:33:31.758108+00,2026-06-09 18:33:31.778217+00,2026-06-09 18:33:31.882768+00,0.104551,0.124660,
56465bf2-0641-4770-950f-8638f6b0d806,numbered,15520,completed,sold,1,2026-06-09 18:33:32.258794+00,2026-06-09 18:33:32.279081+00,2026-06-09 18:33:32.383761+00,0.104680,0.124967,
1bce93be-05ca-4e96-8702-9dbe99a3c648,numbered,28333,completed,sold,1,2026-06-09 18:33:32.758168+00,2026-06-09 18:33:32.778438+00,2026-06-09 18:33:32.882998+00,0.104560,0.124830,
f4b3ed06-d635-4bb2-8eb8-4130b9243dda,numbered,66270,completed,sold,1,2026-06-09 18:33:33.258165+00,2026-06-09 18:33:33.279698+00,2026-06-09 18:33:33.384536+00,0.104838,0.126371,
8d664c8e-ace0-45ce-8e5e-abddb65596a5,numbered,21043,completed,sold,1,2026-06-09 18:33:33.758328+00,2026-06-09 18:33:33.779077+00,2026-06-09 18:33:33.883804+00,0.104727,0.125476,
9eebf94f-d490-4a11-852e-0c2ccb449652,numbered,62353,completed,sold,1,2026-06-09 18:33:34.257981+00,2026-06-09 18:33:34.2784+00,2026-06-09 18:33:34.383039+00,0.104639,0.125058,
7613b68b-9f31-4eb6-8271-d97cee30d5e3,numbered,24788,completed,sold,1,2026-06-09 18:33:34.757941+00,2026-06-09 18:33:34.778204+00,2026-06-09 18:33:34.882507+00,0.104303,0.124566,
