request_id,mode,seat_id,status,result,attempts,enqueued_at,worker_started_at,completed_at,processing_seconds,end_to_end_seconds,error
dcd7ff3f-23cb-44bb-a9a2-2a87011a9b43,numbered,99105,completed,sold,1,2026-06-08 17:45:34.717889+00,2026-06-08 17:45:34.750308+00,2026-06-08 17:45:34.856688+00,0.106380,0.138799,
3cdd91f8-f6c7-46cd-a830-3fadcc1be85c,numbered,21831,completed,sold,1,2026-06-08 17:45:35.215767+00,2026-06-08 17:45:35.240295+00,2026-06-08 17:45:35.346102+00,0.105807,0.130335,
7ce79d1d-8b37-4acc-86a5-39304d39d40c,numbered,79420,completed,sold,1,2026-06-08 17:45:35.715663+00,2026-06-08 17:45:35.740027+00,2026-06-08 17:45:35.846006+00,0.105979,0.130343,
1b8ade98-05ce-432f-8556-e83ca3249b06,numbered,38541,completed,sold,1,2026-06-08 17:45:36.215585+00,2026-06-08 17:45:36.240318+00,2026-06-08 17:45:36.346321+00,0.106003,0.130736,
1860370b-e813-4fdb-8448-e1b8d42f4839,numbered,23754,completed,sold,1,2026-06-08 17:45:36.715675+00,2026-06-08 17:45:36.741369+00,2026-06-08 17:45:36.847387+00,0.106018,0.131712,
07802aaf-db7a-414c-82cc-31c232c2507f,numbered,2241,completed,sold,1,2026-06-08 17:45:37.215814+00,2026-06-08 17:45:37.24022+00,2026-06-08 17:45:37.345913+00,0.105693,0.130099,
99f1f3a5-583c-45d5-9c57-b75a08cc200f,numbered,98064,completed,sold,1,2026-06-08 17:45:37.715481+00,2026-06-08 17:45:37.740337+00,2026-06-08 17:45:37.846126+00,0.105789,0.130645,
b260d36e-cdd7-44b4-9322-0c9534edf14f,numbered,27876,completed,sold,1,2026-06-08 17:45:38.215387+00,2026-06-08 17:45:38.241567+00,2026-06-08 17:45:38.347393+00,0.105826,0.132006,
328782dc-5de8-4361-91af-17251915111f,numbered,14281,completed,sold,1,2026-06-08 17:45:38.715414+00,2026-06-08 17:45:38.741356+00,2026-06-08 17:45:38.847257+00,0.105901,0.131843,
f0e285ef-6fc9-4c71-a20f-73f25673093d,numbered,78345,completed,sold,1,2026-06-08 17:45:39.215448+00,2026-06-08 17:45:39.2402+00,2026-06-08 17:45:39.346025+00,0.105825,0.130577,
ac28a266-a844-4c8d-842c-f4672133097a,numbered,31524,completed,sold,1,2026-06-08 17:45:39.715663+00,2026-06-08 17:45:39.740206+00,2026-06-08 17:45:39.846127+00,0.105921,0.130464,
ce82a999-c4e2-4fe7-956e-3cd014163b92,numbered,70262,completed,sold,1,2026-06-08 17:45:39.76556+00,2026-06-08 17:45:39.872122+00,2026-06-08 17:45:39.977636+00,0.105514,0.212076,
0af17065-9dd4-40f7-b812-f90b16c53af4,numbered,5028,completed,sold,1,2026-06-08 17:45:39.815236+00,2026-06-08 17:45:40.004032+00,2026-06-08 17:45:40.110043+00,0.106011,0.294807,
3e715863-b382-47d3-8117-0f544c4cadb8,numbered,17876,completed,sold,1,2026-06-08 17:45:39.865032+00,2026-06-08 17:45:40.136298+00,2026-06-08 17:45:40.242141+00,0.105843,0.377109,
18e2d387-d435-457c-bb19-42a3d13d9878,numbered,28020,completed,sold,1,2026-06-08 17:45:39.91517+00,2026-06-08 17:45:40.267913+00,2026-06-08 17:45:40.373397+00,0.105484,0.458227,
df9a9718-b4e3-4aa4-8036-6f47abb2eaac,numbered,96470,completed,sold,1,2026-06-08 17:45:39.965195+00,2026-06-08 17:45:40.399244+00,2026-06-08 17:45:40.504708+00,0.105464,0.539513,
1ab13a81-8b2c-42a6-a54e-bb100e2c4e6f,numbered,95845,completed,sold,1,2026-06-08 17:45:40.015181+00,2026-06-08 17:45:40.530332+00,2026-06-08 17:45:40.636072+00,0.105740,0.620891,
933ddea5-2db8-4a53-b33a-3da65fa8e0f9,numbered,57001,completed,sold,1,2026-06-08 17:45:40.065117+00,2026-06-08 17:45:40.66231+00,2026-06-08 17:45:40.768347+00,0.106037,0.703230,
3297d8ca-d742-4b48-8869-353703cd4013,numbered,30691,completed,sold,1,2026-06-08 17:45:40.115179+00,2026-06-08 17:45:40.794525+00,2026-06-08 17:45:40.900278+00,0.105753,0.785099,
e7955e60-95ec-4172-9ffa-5536a38f974d,numbered,56379,completed,sold,1,2026-06-08 17:45:40.165159+00,2026-06-08 17:45:40.925952+00,2026-06-08 17:45:41.031559+00,0.105607,0.866400,
08593a57-c330-4087-9550-e6955378eb94,numbered,14225,completed,sold,1,2026-06-08 17:45:40.215122+00,2026-06-08 17:45:41.057673+00,2026-06-08 17:45:41.163689+00,0.106016,0.948567,
42738f9d-c7c5-451e-8707-548b804c8789,numbered,80638,completed,sold,1,2026-06-08 17:45:40.265149+00,2026-06-08 17:45:41.190764+00,2026-06-08 17:45:41.297931+00,0.107167,1.032782,
bbfdfdf2-d978-481d-a42b-4896552bda96,numbered,75669,completed,sold,1,2026-06-08 17:45:40.315191+00,2026-06-08 17:45:41.323911+00,2026-06-08 17:45:41.429676+00,0.105765,1.114485,
c5970513-4d7e-4e93-8ac5-685f027d5bb7,numbered,14781,completed,sold,1,2026-06-08 17:45:40.365098+00,2026-06-08 17:45:41.456343+00,2026-06-08 17:45:41.562181+00,0.105838,1.197083,
8e1bfeae-2c1e-4457-89ed-7ed56a859390,numbered,69572,completed,sold,1,2026-06-08 17:45:40.415201+00,2026-06-08 17:45:41.587581+00,2026-06-08 17:45:41.693104+00,0.105523,1.277903,
153d4130-53de-4fe9-a358-163f0bc3ba94,numbered,84144,completed,sold,1,2026-06-08 17:45:40.464988+00,2026-06-08 17:45:41.721693+00,2026-06-08 17:45:41.828513+00,0.106820,1.363525,
f1939025-d14f-4c5c-804f-ff8c2cc164fa,numbered,75535,completed,sold,1,2026-06-08 17:45:40.515149+00,2026-06-08 17:45:41.856099+00,2026-06-08 17:45:41.962212+00,0.106113,1.447063,
a540e204-15ed-4e8f-8eb4-6b8f135920df,numbered,21370,completed,sold,1,2026-06-08 17:45:40.565342+00,2026-06-08 17:45:41.988165+00,2026-06-08 17:45:42.09419+00,0.106025,1.528848,
60572495-a680-43d1-b720-07d1576770be,numbered,96496,completed,sold,1,2026-06-08 17:45:40.615288+00,2026-06-08 17:45:42.122264+00,2026-06-08 17:45:42.228005+00,0.105741,1.612717,
41ed27bc-9dce-4cf4-83e4-4fa4fbe2bcf0,numbered,50437,completed,sold,1,2026-06-08 17:45:40.665068+00,2026-06-08 17:45:42.255261+00,2026-06-08 17:45:42.360933+00,0.105672,1.695865,
b41e2c1f-ddd1-495d-8eec-4da5d321e299,numbered,89410,completed,sold,1,2026-06-08 17:45:40.715335+00,2026-06-08 17:45:42.387263+00,2026-06-08 17:45:42.493292+00,0.106029,1.777957,
f5958e7c-17bd-4098-9fe6-137b91b3e728,numbered,10512,completed,sold,1,2026-06-08 17:45:40.765126+00,2026-06-08 17:45:42.521675+00,2026-06-08 17:45:42.62749+00,0.105815,1.862364,
2b3c3519-ddeb-4009-b456-c7004e247729,numbered,41168,completed,sold,1,2026-06-08 17:45:40.81529+00,2026-06-08 17:45:42.65466+00,2026-06-08 17:45:42.760451+00,0.105791,1.945161,
68afe80b-05b9-4fc0-85c2-04133f1c99c1,numbered,52406,completed,sold,1,2026-06-08 17:45:40.865108+00,2026-06-08 17:45:42.788324+00,2026-06-08 17:45:42.894161+00,0.105837,2.029053,
d1de7b60-7f8b-4236-b934-f92a21bae209,numbered,8682,completed,sold,1,2026-06-08 17:45:40.915137+00,2026-06-08 17:45:42.92172+00,2026-06-08 17:45:43.027354+00,0.105634,2.112217,
d0c75df2-a701-45be-a3ba-b47d924f8cd5,numbered,15618,completed,sold,1,2026-06-08 17:45:40.965165+00,2026-06-08 17:45:43.053084+00,2026-06-08 17:45:43.158726+00,0.105642,2.193561,
027633d9-b848-46cc-aeb9-f488298e9b87,numbered,10338,completed,sold,1,2026-06-08 17:45:41.015288+00,2026-06-08 17:45:43.185005+00,2026-06-08 17:45:43.290581+00,0.105576,2.275293,
d1d9e36b-72f1-4260-91b0-8b3de5a25b80,numbered,94505,completed,sold,1,2026-06-08 17:45:41.065212+00,2026-06-08 17:45:43.317286+00,2026-06-08 17:45:43.422503+00,0.105217,2.357291,
38e73729-5659-421c-907d-d020a8d1e34a,numbered,40323,completed,sold,1,2026-06-08 17:45:41.115122+00,2026-06-08 17:45:43.448867+00,2026-06-08 17:45:43.554364+00,0.105497,2.439242,
38480f69-534d-48fd-a694-93c48eece69d,numbered,21524,completed,sold,1,2026-06-08 17:45:41.164896+00,2026-06-08 17:45:43.590299+00,2026-06-08 17:45:43.696229+00,0.105930,2.531333,
9f3b7c3a-fe32-4166-8da4-2cfcf98ecc80,numbered,81627,completed,sold,1,2026-06-08 17:45:41.215289+00,2026-06-08 17:45:43.722702+00,2026-06-08 17:45:43.828184+00,0.105482,2.612895,
e95f3a7b-029c-4974-8a9f-7f540deba7a9,numbered,49915,completed,sold,1,2026-06-08 17:45:41.265637+00,2026-06-08 17:45:43.854569+00,2026-06-08 17:45:43.960466+00,0.105897,2.694829,
f22c853d-dd32-4590-bd69-979720843acc,numbered,22276,completed,sold,1,2026-06-08 17:45:41.315239+00,2026-06-08 17:45:43.988089+00,2026-06-08 17:45:44.093683+00,0.105594,2.778444,
afbf9bb0-7c80-41d5-8f4b-780c34dfd7d0,numbered,13273,completed,sold,1,2026-06-08 17:45:41.36497+00,2026-06-08 17:45:44.121783+00,2026-06-08 17:45:44.2274+00,0.105617,2.862430,
ee40a5eb-7599-4995-832d-65df6d02cb8c,numbered,61785,completed,sold,1,2026-06-08 17:45:41.41512+00,2026-06-08 17:45:44.253216+00,2026-06-08 17:45:44.358775+00,0.105559,2.943655,
2c8e649b-6b3a-46f6-8aa3-ca878568f954,numbered,10800,completed,sold,1,2026-06-08 17:45:41.46675+00,2026-06-08 17:45:44.385529+00,2026-06-08 17:45:44.491492+00,0.105963,3.024742,
953bc27f-1df6-4d3d-85d9-a6c11f186529,numbered,62473,completed,sold,1,2026-06-08 17:45:41.515132+00,2026-06-08 17:45:44.518043+00,2026-06-08 17:45:44.623478+00,0.105435,3.108346,
13c8310a-268f-4177-b882-52c3328df435,numbered,1678,completed,sold,1,2026-06-08 17:45:41.5649+00,2026-06-08 17:45:44.648975+00,2026-06-08 17:45:44.754677+00,0.105702,3.189777,
e822d4ec-538c-4e94-83f4-0137c447c69d,numbered,25393,completed,sold,1,2026-06-08 17:45:41.615082+00,2026-06-08 17:45:44.784164+00,2026-06-08 17:45:44.890848+00,0.106684,3.275766,
94cbbf0e-4fb6-4cec-8fbf-f9725c8fc0cf,numbered,88994,completed,sold,1,2026-06-08 17:45:41.665091+00,2026-06-08 17:45:44.917172+00,2026-06-08 17:45:45.023067+00,0.105895,3.357976,
59f1f79e-6613-42de-b991-2f43769b7874,numbered,85302,completed,sold,1,2026-06-08 17:45:41.714926+00,2026-06-08 17:45:45.050038+00,2026-06-08 17:45:45.156174+00,0.106136,3.441248,
a4e52bf6-ff8a-4902-8ba3-91fce0193ce4,numbered,43256,completed,sold,1,2026-06-08 17:45:41.765113+00,2026-06-08 17:45:45.185072+00,2026-06-08 17:45:45.291267+00,0.106195,3.526154,
c524d8d1-52cd-41b9-a8e4-9dd12c96042d,numbered,14351,completed,sold,1,2026-06-08 17:45:41.815323+00,2026-06-08 17:45:45.318389+00,2026-06-08 17:45:45.423797+00,0.105408,3.608474,
26541cb1-61ad-47c9-be7b-06c2ac5f0837,numbered,97478,completed,sold,1,2026-06-08 17:45:41.864978+00,2026-06-08 17:45:45.449222+00,2026-06-08 17:45:45.554995+00,0.105773,3.690017,
5c5e5212-fe09-43a2-a11c-021cf0379431,numbered,42189,completed,sold,1,2026-06-08 17:45:41.915046+00,2026-06-08 17:45:45.584147+00,2026-06-08 17:45:45.690003+00,0.105856,3.774957,
7bf59bc6-9cae-4472-95f9-1056cd6a5892,numbered,36832,completed,sold,1,2026-06-08 17:45:41.965004+00,2026-06-08 17:45:45.715746+00,2026-06-08 17:45:45.821472+00,0.105726,3.856468,
856bd627-8444-4dd3-84c1-5e0d533c0fb4,numbered,63024,completed,sold,1,2026-06-08 17:45:42.015198+00,2026-06-08 17:45:45.847993+00,2026-06-08 17:45:45.954139+00,0.106146,3.938941,
5d54026b-0360-4ecd-be6c-6f228de1e2dd,numbered,68965,completed,sold,1,2026-06-08 17:45:42.065138+00,2026-06-08 17:45:45.979713+00,2026-06-08 17:45:46.085235+00,0.105522,4.020097,
c5e404d7-fa7f-482c-a18a-ef6722c99645,numbered,41423,completed,sold,1,2026-06-08 17:45:42.115153+00,2026-06-08 17:45:46.111621+00,2026-06-08 17:45:46.21738+00,0.105759,4.102227,
dc1f563e-6ec2-4745-9ac5-a158cd3fd131,numbered,71253,completed,sold,1,2026-06-08 17:45:42.164981+00,2026-06-08 17:45:46.244056+00,2026-06-08 17:45:46.349667+00,0.105611,4.184686,
204a895f-e9a1-4a3c-9008-a9024c260900,numbered,72565,completed,sold,1,2026-06-08 17:45:42.215003+00,2026-06-08 17:45:46.375645+00,2026-06-08 17:45:46.481261+00,0.105616,4.266258,
bd6263cd-4b01-4e91-900a-08e47cc898df,numbered,34120,completed,sold,1,2026-06-08 17:45:42.264933+00,2026-06-08 17:45:46.506706+00,2026-06-08 17:45:46.612415+00,0.105709,4.347482,
40e8b421-8726-4c1a-a07c-e05235972aaa,numbered,57742,completed,sold,1,2026-06-08 17:45:42.315032+00,2026-06-08 17:45:46.639644+00,2026-06-08 17:45:46.745337+00,0.105693,4.430305,
