request_id,mode,seat_id,status,result,attempts,enqueued_at,worker_started_at,completed_at,processing_seconds,end_to_end_seconds,error
b3760d01-f899-4392-b36c-5d3c6df03e90,numbered,29363,completed,sold,1,2026-06-08 15:59:06.271919+00,2026-06-08 15:59:06.29651+00,2026-06-08 15:59:06.402001+00,0.105491,0.130082,
39ce93ab-fa30-482f-8778-785eb66578ee,numbered,7235,completed,sold,1,2026-06-08 15:59:06.303182+00,2026-06-08 15:59:06.42408+00,2026-06-08 15:59:06.529277+00,0.105197,0.226095,
406798b6-49c2-4a0a-98c8-2c32758c8a76,numbered,28780,completed,sold,1,2026-06-08 15:59:06.336528+00,2026-06-08 15:59:06.550916+00,2026-06-08 15:59:06.655768+00,0.104852,0.319240,
5c24bcc6-2927-425f-9f03-89038c8b3f00,numbered,43086,completed,sold,1,2026-06-08 15:59:06.370136+00,2026-06-08 15:59:06.67778+00,2026-06-08 15:59:06.7824+00,0.104620,0.412264,
4208c5f0-2e48-4f03-9824-0b993038af05,numbered,26335,completed,sold,1,2026-06-08 15:59:06.403005+00,2026-06-08 15:59:06.804467+00,2026-06-08 15:59:06.909093+00,0.104626,0.506088,
0d7302cf-2c6f-44f7-a9ca-b1fc3a4993b4,numbered,39392,completed,sold,1,2026-06-08 15:59:06.437293+00,2026-06-08 15:59:06.930949+00,2026-06-08 15:59:07.036107+00,0.105158,0.598814,
0661a8b9-8ee8-4370-841f-eabd164ca6d0,numbered,64416,completed,sold,1,2026-06-08 15:59:06.469578+00,2026-06-08 15:59:07.057999+00,2026-06-08 15:59:07.162685+00,0.104686,0.693107,
1ca2293f-ca6e-4441-82e8-02d8ad548bde,numbered,54305,completed,sold,1,2026-06-08 15:59:06.504387+00,2026-06-08 15:59:07.184512+00,2026-06-08 15:59:07.289134+00,0.104622,0.784747,
14146812-335e-40e7-b555-30eaadab0a0d,numbered,70587,completed,sold,1,2026-06-08 15:59:06.536684+00,2026-06-08 15:59:07.310462+00,2026-06-08 15:59:07.415352+00,0.104890,0.878668,
b6791eab-3cb2-4f32-bb36-709adc2e3e5e,numbered,66109,completed,sold,1,2026-06-08 15:59:06.570504+00,2026-06-08 15:59:07.437033+00,2026-06-08 15:59:07.541732+00,0.104699,0.971228,
93f4b3c9-9a84-444c-9e6d-209db8e75fdd,numbered,95901,completed,sold,1,2026-06-08 15:59:06.60313+00,2026-06-08 15:59:07.563542+00,2026-06-08 15:59:07.668193+00,0.104651,1.065063,
db5957e5-d4ea-4a1b-8973-35827f00b127,numbered,31543,completed,sold,1,2026-06-08 15:59:06.636389+00,2026-06-08 15:59:07.690816+00,2026-06-08 15:59:07.796995+00,0.106179,1.160606,
92a65c4a-335d-4996-809c-c34da822b0d8,numbered,98372,completed,sold,1,2026-06-08 15:59:06.669568+00,2026-06-08 15:59:07.81906+00,2026-06-08 15:59:07.92399+00,0.104930,1.254422,
1b2bb4ae-87cd-41bc-9512-6e09acf00944,numbered,15402,completed,sold,1,2026-06-08 15:59:06.703816+00,2026-06-08 15:59:07.94524+00,2026-06-08 15:59:08.050146+00,0.104906,1.346330,
7e83b682-3747-4e0c-b9b2-20c8bab5431f,numbered,28792,completed,sold,1,2026-06-08 15:59:06.736286+00,2026-06-08 15:59:08.072234+00,2026-06-08 15:59:08.176909+00,0.104675,1.440623,
9f984159-47bb-4987-944e-cbbdc6a98ee9,numbered,4208,completed,sold,1,2026-06-08 15:59:06.769711+00,2026-06-08 15:59:08.198323+00,2026-06-08 15:59:08.303004+00,0.104681,1.533293,
a3e5eb34-98b8-41be-a75c-1733146e6645,numbered,34368,completed,sold,1,2026-06-08 15:59:06.802891+00,2026-06-08 15:59:08.324212+00,2026-06-08 15:59:08.428805+00,0.104593,1.625914,
3215d3ec-37f5-4d4f-82f4-6c4cc2e136d3,numbered,596,completed,sold,1,2026-06-08 15:59:06.836232+00,2026-06-08 15:59:08.450433+00,2026-06-08 15:59:08.555041+00,0.104608,1.718809,
22e652c6-df4f-403f-b73d-d9f500a74fd0,numbered,67113,completed,sold,1,2026-06-08 15:59:06.869585+00,2026-06-08 15:59:08.576854+00,2026-06-08 15:59:08.681817+00,0.104963,1.812232,
0a87cba7-3f88-4009-bdad-7d7295ba5e44,numbered,63260,completed,sold,1,2026-06-08 15:59:06.902906+00,2026-06-08 15:59:08.703873+00,2026-06-08 15:59:08.808262+00,0.104389,1.905356,
cd73a135-8d74-467b-b0bd-c4d5a4c8e0e9,numbered,12770,completed,sold,1,2026-06-08 15:59:06.936238+00,2026-06-08 15:59:08.829419+00,2026-06-08 15:59:08.933999+00,0.104580,1.997761,
6bad9c69-9926-4eae-9728-fe579bb8a673,numbered,89109,completed,sold,1,2026-06-08 15:59:06.969422+00,2026-06-08 15:59:08.955529+00,2026-06-08 15:59:09.060329+00,0.104800,2.090907,
4a434730-697c-4973-bc90-5ac2763bdf36,numbered,81621,completed,sold,1,2026-06-08 15:59:07.002875+00,2026-06-08 15:59:09.081059+00,2026-06-08 15:59:09.185815+00,0.104756,2.182940,
fff003b4-2171-4b18-abbf-7d69940a6267,numbered,83825,completed,sold,1,2026-06-08 15:59:07.036068+00,2026-06-08 15:59:09.208476+00,2026-06-08 15:59:09.312901+00,0.104425,2.276833,
e618d7ec-5ec7-444c-af45-f58455d318d5,numbered,76331,completed,sold,1,2026-06-08 15:59:07.069663+00,2026-06-08 15:59:09.333673+00,2026-06-08 15:59:09.438679+00,0.105006,2.369016,
333d87fa-f4e7-43b2-8fa3-9f673abec9f8,numbered,44364,completed,sold,1,2026-06-08 15:59:07.103052+00,2026-06-08 15:59:09.460206+00,2026-06-08 15:59:09.564773+00,0.104567,2.461721,
deef39ee-9c48-4106-a441-a7a92d07a928,numbered,66392,completed,sold,1,2026-06-08 15:59:07.136224+00,2026-06-08 15:59:09.586542+00,2026-06-08 15:59:09.691682+00,0.105140,2.555458,
9d1d2130-e610-474d-b611-f2e789b9be24,numbered,7805,completed,sold,1,2026-06-08 15:59:07.169533+00,2026-06-08 15:59:09.714267+00,2026-06-08 15:59:09.818942+00,0.104675,2.649409,
511dfc6b-1ad6-42fd-b551-d53c7c56d415,numbered,37995,completed,sold,1,2026-06-08 15:59:07.202988+00,2026-06-08 15:59:09.841519+00,2026-06-08 15:59:09.945988+00,0.104469,2.743000,
822afd32-a4c0-462c-a62e-17550316e48e,numbered,25011,completed,sold,1,2026-06-08 15:59:07.236287+00,2026-06-08 15:59:09.967334+00,2026-06-08 15:59:10.071975+00,0.104641,2.835688,
3ef1db6a-d13b-415f-bc22-1fe50aa4cc5f,numbered,52036,completed,sold,1,2026-06-08 15:59:07.269654+00,2026-06-08 15:59:10.092833+00,2026-06-08 15:59:10.197623+00,0.104790,2.927969,
e1c5c5f5-a6b2-4a8e-b73d-503a301d30b1,numbered,27698,completed,sold,1,2026-06-08 15:59:07.302895+00,2026-06-08 15:59:10.219818+00,2026-06-08 15:59:10.324721+00,0.104903,3.021826,
b1a33785-8fca-4819-ba0e-dd908d05ee8c,numbered,92270,completed,sold,1,2026-06-08 15:59:07.336373+00,2026-06-08 15:59:10.346453+00,2026-06-08 15:59:10.451217+00,0.104764,3.114844,
a31ae53b-b37e-476b-96ee-e604c66bce59,numbered,49014,completed,sold,1,2026-06-08 15:59:07.369744+00,2026-06-08 15:59:10.47523+00,2026-06-08 15:59:10.580416+00,0.105186,3.210672,
c6744ba0-132b-4124-bd1c-91a5d5381eed,numbered,87873,completed,sold,1,2026-06-08 15:59:07.403046+00,2026-06-08 15:59:10.602074+00,2026-06-08 15:59:10.706748+00,0.104674,3.303702,
e5cc38d6-9563-4f27-854a-cccec7b18fbf,numbered,94496,completed,sold,1,2026-06-08 15:59:07.435974+00,2026-06-08 15:59:10.728489+00,2026-06-08 15:59:10.833061+00,0.104572,3.397087,
c3beba7c-6394-4ecd-a354-59510e3712db,numbered,26055,completed,sold,1,2026-06-08 15:59:07.469454+00,2026-06-08 15:59:10.855387+00,2026-06-08 15:59:10.959919+00,0.104532,3.490465,
603cfcb8-38bd-4a61-86d6-93e26de6f2c6,numbered,47797,completed,sold,1,2026-06-08 15:59:07.502962+00,2026-06-08 15:59:10.980719+00,2026-06-08 15:59:11.085289+00,0.104570,3.582327,
b3508e04-3286-4747-a50a-9741b6c288ce,numbered,59084,completed,sold,1,2026-06-08 15:59:07.536291+00,2026-06-08 15:59:11.108447+00,2026-06-08 15:59:11.213466+00,0.105019,3.677175,
092cf714-b09a-4901-a57d-0dcb4732fc98,numbered,94532,completed,sold,1,2026-06-08 15:59:07.569559+00,2026-06-08 15:59:11.237572+00,2026-06-08 15:59:11.342183+00,0.104611,3.772624,
376ca989-558a-4821-8039-7f6247b8ab27,numbered,17762,completed,sold,1,2026-06-08 15:59:07.602943+00,2026-06-08 15:59:11.36412+00,2026-06-08 15:59:11.470099+00,0.105979,3.867156,
7cdf6d59-2dc7-45b1-8628-77ae4eec7db2,numbered,59417,completed,sold,1,2026-06-08 15:59:07.636261+00,2026-06-08 15:59:11.493905+00,2026-06-08 15:59:11.598343+00,0.104438,3.962082,
bdebddb1-6fb0-473b-8f20-bc287820cd55,numbered,41245,completed,sold,1,2026-06-08 15:59:07.669338+00,2026-06-08 15:59:11.619786+00,2026-06-08 15:59:11.724692+00,0.104906,4.055354,
e6308211-163e-4058-a2c2-494e7ef3991f,numbered,8317,completed,sold,1,2026-06-08 15:59:07.703088+00,2026-06-08 15:59:11.746676+00,2026-06-08 15:59:11.851864+00,0.105188,4.148776,
73c794ce-a86c-4590-9e4c-d6f160768830,numbered,83133,completed,sold,1,2026-06-08 15:59:07.7363+00,2026-06-08 15:59:11.876722+00,2026-06-08 15:59:11.981328+00,0.104606,4.245028,
422cfeb4-1fe6-49a0-9cb2-9a35d9062b27,numbered,62426,completed,sold,1,2026-06-08 15:59:07.769635+00,2026-06-08 15:59:12.002513+00,2026-06-08 15:59:12.107008+00,0.104495,4.337373,
7c2c8ad0-a263-49f2-8644-3a4402bf979e,numbered,37444,completed,sold,1,2026-06-08 15:59:07.803405+00,2026-06-08 15:59:12.128841+00,2026-06-08 15:59:12.233729+00,0.104888,4.430324,
1e2f4bba-8eee-4729-b508-01b53e625e17,numbered,75342,completed,sold,1,2026-06-08 15:59:07.83615+00,2026-06-08 15:59:12.256317+00,2026-06-08 15:59:12.360902+00,0.104585,4.524752,
020320a4-5b89-4967-b569-2e1224d1369b,numbered,71226,completed,sold,1,2026-06-08 15:59:07.869637+00,2026-06-08 15:59:12.382576+00,2026-06-08 15:59:12.487144+00,0.104568,4.617507,
32779ec7-beee-421d-8d69-d230bb0a39d4,numbered,84418,completed,sold,1,2026-06-08 15:59:07.903073+00,2026-06-08 15:59:12.508206+00,2026-06-08 15:59:12.613068+00,0.104862,4.709995,
1466de0b-fc03-4be7-8a50-1d6b4bf6fe1f,numbered,97755,completed,sold,1,2026-06-08 15:59:07.936102+00,2026-06-08 15:59:12.63557+00,2026-06-08 15:59:12.740519+00,0.104949,4.804417,
c01c8d18-1a53-4ac1-84d3-e8ba929e149b,numbered,92592,completed,sold,1,2026-06-08 15:59:07.96963+00,2026-06-08 15:59:12.76452+00,2026-06-08 15:59:12.869966+00,0.105446,4.900336,
22cc6570-013f-484b-b70f-8b0001bc2285,numbered,18731,completed,sold,1,2026-06-08 15:59:08.003235+00,2026-06-08 15:59:12.892517+00,2026-06-08 15:59:12.997268+00,0.104751,4.994033,
9bdc3c0e-f3ef-4b88-9c7a-42d332d3e16c,numbered,51614,completed,sold,1,2026-06-08 15:59:08.0364+00,2026-06-08 15:59:13.023766+00,2026-06-08 15:59:13.128987+00,0.105221,5.092587,
bc99aeca-c92b-4822-b7de-bd3c780ac310,numbered,97944,completed,sold,1,2026-06-08 15:59:08.069464+00,2026-06-08 15:59:13.152959+00,2026-06-08 15:59:13.258435+00,0.105476,5.188971,
bff21c0d-80e0-44d2-a151-c034f34afe98,numbered,88427,completed,sold,1,2026-06-08 15:59:08.10312+00,2026-06-08 15:59:13.280517+00,2026-06-08 15:59:13.385277+00,0.104760,5.282157,
a669a8c9-8185-4ab5-965a-4e80a4a70b9d,numbered,20744,completed,sold,1,2026-06-08 15:59:08.136221+00,2026-06-08 15:59:13.408975+00,2026-06-08 15:59:13.513799+00,0.104824,5.377578,
bf1d629f-80c2-4a2f-bc25-fadc498be06a,numbered,89073,completed,sold,1,2026-06-08 15:59:08.169642+00,2026-06-08 15:59:13.536516+00,2026-06-08 15:59:13.641792+00,0.105276,5.472150,
3a106e7c-743f-42f1-a2dd-98eb3985f251,numbered,82116,completed,sold,1,2026-06-08 15:59:08.202932+00,2026-06-08 15:59:13.663821+00,2026-06-08 15:59:13.768983+00,0.105162,5.566051,
388afc21-9a97-4f6e-821f-e01a073636cd,numbered,85341,completed,sold,1,2026-06-08 15:59:08.236404+00,2026-06-08 15:59:13.791839+00,2026-06-08 15:59:13.896439+00,0.104600,5.660035,
fae9f950-f8e8-4f76-9fe8-aa7924e21c85,numbered,15510,completed,sold,1,2026-06-08 15:59:08.269724+00,2026-06-08 15:59:13.918229+00,2026-06-08 15:59:14.023009+00,0.104780,5.753285,
5bc20430-789d-4f41-aeca-571432327a87,numbered,22470,completed,sold,1,2026-06-08 15:59:08.302894+00,2026-06-08 15:59:14.044834+00,2026-06-08 15:59:14.150175+00,0.105341,5.847281,
001d4b25-6824-4c3e-8284-f3912c68ddae,numbered,61137,completed,sold,1,2026-06-08 15:59:08.336276+00,2026-06-08 15:59:14.17201+00,2026-06-08 15:59:14.276622+00,0.104612,5.940346,
84e5fa69-977f-4da6-bbf8-a023ea8bcb3c,numbered,18114,completed,sold,1,2026-06-08 15:59:08.369525+00,2026-06-08 15:59:14.299155+00,2026-06-08 15:59:14.404022+00,0.104867,6.034497,
8faf3a56-5aeb-4186-a2a7-8a32d589391f,numbered,91151,completed,sold,1,2026-06-08 15:59:08.403031+00,2026-06-08 15:59:14.424921+00,2026-06-08 15:59:14.529431+00,0.104510,6.126400,
a6b97f24-4bc4-4d7e-af09-1ed1ba4819a9,numbered,5245,completed,sold,1,2026-06-08 15:59:08.436166+00,2026-06-08 15:59:14.550863+00,2026-06-08 15:59:14.655529+00,0.104666,6.219363,
0b355405-e47f-42f4-8978-e9e22dbb1f7b,numbered,62172,completed,sold,1,2026-06-08 15:59:08.469687+00,2026-06-08 15:59:14.677959+00,2026-06-08 15:59:14.782751+00,0.104792,6.313064,
67e59d92-eca3-40d0-98c4-4d32966a7489,numbered,48476,completed,sold,1,2026-06-08 15:59:08.50309+00,2026-06-08 15:59:14.804288+00,2026-06-08 15:59:14.908707+00,0.104419,6.405617,
3c095453-0c23-434b-87a3-55723114099f,numbered,63521,completed,sold,1,2026-06-08 15:59:08.536292+00,2026-06-08 15:59:14.930993+00,2026-06-08 15:59:15.036276+00,0.105283,6.499984,
f1f49297-1765-460d-976f-2c5205553d34,numbered,33129,completed,sold,1,2026-06-08 15:59:08.569665+00,2026-06-08 15:59:15.05943+00,2026-06-08 15:59:15.164053+00,0.104623,6.594388,
a760d0dd-d7f9-4c88-a964-f1c32e5b6f47,numbered,64781,completed,sold,1,2026-06-08 15:59:08.602944+00,2026-06-08 15:59:15.18617+00,2026-06-08 15:59:15.290794+00,0.104624,6.687850,
61e1ecea-aaa9-4854-b951-521f4cbb99ae,numbered,67379,completed,sold,1,2026-06-08 15:59:08.636414+00,2026-06-08 15:59:15.312146+00,2026-06-08 15:59:15.416663+00,0.104517,6.780249,
450c1720-c4f4-49e7-b35d-5af6311dc961,numbered,88484,completed,sold,1,2026-06-08 15:59:08.669616+00,2026-06-08 15:59:15.43818+00,2026-06-08 15:59:15.542656+00,0.104476,6.873040,
