request_id,mode,seat_id,status,result,attempts,enqueued_at,worker_started_at,completed_at,processing_seconds,end_to_end_seconds,error
75c3d8de-eb1e-49ec-9ad4-a17f6ff2a67c,numbered,23771,completed,sold,1,2026-06-08 16:02:08.683567+00,2026-06-08 16:02:08.706728+00,2026-06-08 16:02:08.811776+00,0.105048,0.128209,
658b9924-075f-4c85-824a-b094cc0b1047,numbered,5247,completed,sold,1,2026-06-08 16:02:08.698514+00,2026-06-08 16:02:08.724432+00,2026-06-08 16:02:08.829866+00,0.105434,0.131352,
aca683d4-4362-4c80-9e80-6b0f2a572b10,numbered,5468,completed,sold,1,2026-06-08 16:02:08.715011+00,2026-06-08 16:02:08.839044+00,2026-06-08 16:02:08.943771+00,0.104727,0.228760,
7c186733-1f50-421e-a45e-efaa83f4e94e,numbered,59382,completed,sold,1,2026-06-08 16:02:08.731618+00,2026-06-08 16:02:08.854091+00,2026-06-08 16:02:08.959249+00,0.105158,0.227631,
3359cc91-1a60-4268-b471-33b26b81f421,numbered,29645,completed,sold,1,2026-06-08 16:02:08.748215+00,2026-06-08 16:02:08.967302+00,2026-06-08 16:02:09.071919+00,0.104617,0.323704,
0164b32a-8c26-4360-a809-68b552fd9d69,numbered,82598,completed,sold,1,2026-06-08 16:02:08.765181+00,2026-06-08 16:02:08.982439+00,2026-06-08 16:02:09.087258+00,0.104819,0.322077,
7e5eb4f9-113f-40c5-8b0d-a5e3da22fb7a,numbered,36926,completed,sold,1,2026-06-08 16:02:08.781426+00,2026-06-08 16:02:09.094744+00,2026-06-08 16:02:09.199602+00,0.104858,0.418176,
70fbef71-9346-48e3-a0a0-0c8774d1e96f,numbered,75616,completed,sold,1,2026-06-08 16:02:08.798354+00,2026-06-08 16:02:09.11104+00,2026-06-08 16:02:09.216734+00,0.105694,0.418380,
e8053e05-37b2-4ec7-84ad-2d580d74b385,numbered,56018,completed,sold,1,2026-06-08 16:02:08.814761+00,2026-06-08 16:02:09.221179+00,2026-06-08 16:02:09.325503+00,0.104324,0.510742,
bb8502ea-514b-4697-bcdc-e52f77afdfcb,numbered,15439,completed,sold,1,2026-06-08 16:02:08.83126+00,2026-06-08 16:02:09.239804+00,2026-06-08 16:02:09.345069+00,0.105265,0.513809,
e351b452-c842-419c-b16b-065e83707d1b,numbered,97097,completed,sold,1,2026-06-08 16:02:08.848254+00,2026-06-08 16:02:09.347878+00,2026-06-08 16:02:09.452394+00,0.104516,0.604140,
93efa4e4-0f9e-46a0-8afc-745a3d9275a0,numbered,61343,completed,sold,1,2026-06-08 16:02:08.8648+00,2026-06-08 16:02:09.367618+00,2026-06-08 16:02:09.473559+00,0.105941,0.608759,
21c83277-eb3e-4855-94cd-08844ae74636,numbered,45771,completed,sold,1,2026-06-08 16:02:08.8813+00,2026-06-08 16:02:09.473921+00,2026-06-08 16:02:09.578898+00,0.104977,0.697598,
e40ab997-5626-4d3b-907a-e5867fd9c6b9,numbered,83902,completed,sold,1,2026-06-08 16:02:08.898041+00,2026-06-08 16:02:09.497216+00,2026-06-08 16:02:09.60207+00,0.104854,0.704029,
c77e93f0-804b-4508-a6eb-cf57b5a175f6,numbered,77263,completed,sold,1,2026-06-08 16:02:08.914876+00,2026-06-08 16:02:09.601209+00,2026-06-08 16:02:09.705754+00,0.104545,0.790878,
07d3a6ba-5b90-4446-a622-ae73e56a83f9,numbered,1628,completed,sold,1,2026-06-08 16:02:08.931865+00,2026-06-08 16:02:09.623855+00,2026-06-08 16:02:09.729146+00,0.105291,0.797281,
e4d1e912-d695-4d42-a782-627fc92cc323,numbered,93464,completed,sold,1,2026-06-08 16:02:08.947988+00,2026-06-08 16:02:09.727282+00,2026-06-08 16:02:09.831901+00,0.104619,0.883913,
2fab097a-b4f0-4061-83f5-66652f0822ec,numbered,4995,completed,sold,1,2026-06-08 16:02:08.964552+00,2026-06-08 16:02:09.754397+00,2026-06-08 16:02:09.859158+00,0.104761,0.894606,
eb0d322f-3828-48b0-a3fc-145151a820b5,numbered,46278,completed,sold,1,2026-06-08 16:02:08.981197+00,2026-06-08 16:02:09.853464+00,2026-06-08 16:02:09.958319+00,0.104855,0.977122,
b98179ee-7f28-4fc7-8067-d155e84f27e4,numbered,53476,completed,sold,1,2026-06-08 16:02:08.998101+00,2026-06-08 16:02:09.882383+00,2026-06-08 16:02:09.987131+00,0.104748,0.989030,
20700b73-8c0c-4658-b87a-8a5eade1d547,numbered,40715,completed,sold,1,2026-06-08 16:02:09.014726+00,2026-06-08 16:02:09.979539+00,2026-06-08 16:02:10.084103+00,0.104564,1.069377,
95afdf64-4e8d-47a3-8b22-851cd2028f0f,numbered,85002,completed,sold,1,2026-06-08 16:02:09.031427+00,2026-06-08 16:02:10.013016+00,2026-06-08 16:02:10.118128+00,0.105112,1.086701,
39ecc3b1-1b3b-47aa-9108-21c812c8b319,numbered,50709,completed,sold,1,2026-06-08 16:02:09.048127+00,2026-06-08 16:02:10.105158+00,2026-06-08 16:02:10.209817+00,0.104659,1.161690,
27fcc2a4-e3f7-49e3-8b81-def9396d55d6,numbered,85731,completed,sold,1,2026-06-08 16:02:09.064835+00,2026-06-08 16:02:10.143698+00,2026-06-08 16:02:10.249457+00,0.105759,1.184622,
d85b8b94-ecb5-4ec9-a9cd-b638fcdf6ef6,numbered,50588,completed,sold,1,2026-06-08 16:02:09.081278+00,2026-06-08 16:02:10.232427+00,2026-06-08 16:02:10.337161+00,0.104734,1.255883,
0b5cdff7-d187-4174-b638-e7a7254f5ddb,numbered,90736,completed,sold,1,2026-06-08 16:02:09.098313+00,2026-06-08 16:02:10.274356+00,2026-06-08 16:02:10.379632+00,0.105276,1.281319,
c9d7e59f-5b67-423d-abe6-5702189be849,numbered,64365,completed,sold,1,2026-06-08 16:02:09.114649+00,2026-06-08 16:02:10.358585+00,2026-06-08 16:02:10.463434+00,0.104849,1.348785,
0530d19d-0988-4452-a554-261158fc8f34,numbered,74047,completed,sold,1,2026-06-08 16:02:09.131427+00,2026-06-08 16:02:10.403522+00,2026-06-08 16:02:10.508285+00,0.104763,1.376858,
c1417405-4fc6-4af3-a60a-237ba37d6480,numbered,11195,completed,sold,1,2026-06-08 16:02:09.148073+00,2026-06-08 16:02:10.48629+00,2026-06-08 16:02:10.591081+00,0.104791,1.443008,
f35c62d7-da6e-4314-8d96-4e38f96159c7,numbered,87200,completed,sold,1,2026-06-08 16:02:09.164935+00,2026-06-08 16:02:10.531043+00,2026-06-08 16:02:10.635987+00,0.104944,1.471052,
92c0ad24-0591-4e70-8731-caabcfddf683,numbered,39144,completed,sold,1,2026-06-08 16:02:09.181291+00,2026-06-08 16:02:10.613027+00,2026-06-08 16:02:10.717964+00,0.104937,1.536673,
19cc3e37-8aa0-461a-a576-6a2d7dcca7cc,numbered,67331,completed,sold,1,2026-06-08 16:02:09.198013+00,2026-06-08 16:02:10.659099+00,2026-06-08 16:02:10.764231+00,0.105132,1.566218,
4b84486c-3c7f-48ed-8379-91d66d57312d,numbered,54794,completed,sold,1,2026-06-08 16:02:09.214519+00,2026-06-08 16:02:10.739308+00,2026-06-08 16:02:10.843813+00,0.104505,1.629294,
