request_id,mode,seat_id,status,result,attempts,enqueued_at,worker_started_at,completed_at,processing_seconds,end_to_end_seconds,error
f4acd4fb-05df-45d1-b0c6-5762bef458e1,numbered,86491,completed,sold,1,2026-06-08 16:23:27.558041+00,2026-06-08 16:23:27.588472+00,2026-06-08 16:23:27.693739+00,0.105267,0.135698,
c527bb1b-0a3a-4c94-8621-bcc5fdd221cb,numbered,65814,completed,sold,1,2026-06-08 16:23:27.563632+00,2026-06-08 16:23:27.591328+00,2026-06-08 16:23:27.696123+00,0.104795,0.132491,
cfc008d7-92ba-4fa3-a1bb-a83f823927e6,numbered,34662,completed,sold,1,2026-06-08 16:23:27.571686+00,2026-06-08 16:23:27.59449+00,2026-06-08 16:23:27.699883+00,0.105393,0.128197,
b28bca51-870b-4975-86e5-48328728b628,numbered,7530,completed,sold,1,2026-06-08 16:23:27.567942+00,2026-06-08 16:23:27.605349+00,2026-06-08 16:23:27.712401+00,0.107052,0.144459,
5f13ec8d-f031-4364-aa0c-163eefb9fa20,numbered,52144,completed,sold,1,2026-06-08 16:23:27.575632+00,2026-06-08 16:23:27.612565+00,2026-06-08 16:23:27.721963+00,0.109398,0.146331,
4b1f2f0e-797a-416a-b254-ffb20420d273,numbered,36669,completed,sold,1,2026-06-08 16:23:27.581057+00,2026-06-08 16:23:27.616503+00,2026-06-08 16:23:27.722897+00,0.106394,0.141840,
ea6134c5-cf69-4ce0-9b32-1bb9e2d2edce,numbered,24201,completed,sold,1,2026-06-08 16:23:27.587821+00,2026-06-08 16:23:27.619316+00,2026-06-08 16:23:27.725809+00,0.106493,0.137988,
f8b1096f-d53b-4bd8-a1da-8f26f08c0fd9,numbered,1454,completed,sold,1,2026-06-08 16:23:27.591759+00,2026-06-08 16:23:27.623031+00,2026-06-08 16:23:27.729057+00,0.106026,0.137298,
daa375b5-c678-4076-82a8-bd2b4c16b799,numbered,3766,completed,sold,1,2026-06-08 16:23:27.595492+00,2026-06-08 16:23:27.732267+00,2026-06-08 16:23:27.837617+00,0.105350,0.242125,
68341ef8-c8a7-4eda-a8b5-8287f09a35e3,numbered,78862,completed,sold,1,2026-06-08 16:23:27.604182+00,2026-06-08 16:23:27.744079+00,2026-06-08 16:23:27.849276+00,0.105197,0.245094,
69c7206a-3254-441c-86d4-2ba16181f6d8,numbered,14932,completed,sold,1,2026-06-08 16:23:27.599689+00,2026-06-08 16:23:27.746886+00,2026-06-08 16:23:27.852021+00,0.105135,0.252332,
e5e21596-5046-4b93-b7f8-45969b0a50de,numbered,41540,completed,sold,1,2026-06-08 16:23:27.611524+00,2026-06-08 16:23:27.762672+00,2026-06-08 16:23:27.868572+00,0.105900,0.257048,
e824ab15-e42f-4c53-aa1d-71d61083b6be,numbered,49496,completed,sold,1,2026-06-08 16:23:27.621018+00,2026-06-08 16:23:27.762459+00,2026-06-08 16:23:27.870044+00,0.107585,0.249026,
84ac5748-1e8b-4255-a25c-731acc39edc3,numbered,71494,completed,sold,1,2026-06-08 16:23:27.607944+00,2026-06-08 16:23:27.764666+00,2026-06-08 16:23:27.875744+00,0.111078,0.267800,
baf4b6fc-f94a-41bd-b42e-5e45cbb049b7,numbered,93016,completed,sold,1,2026-06-08 16:23:27.624527+00,2026-06-08 16:23:27.769435+00,2026-06-08 16:23:27.87576+00,0.106325,0.251233,
3aa3e8a0-c7bf-4e18-b262-f40d23e54f1a,numbered,51143,completed,sold,1,2026-06-08 16:23:27.615163+00,2026-06-08 16:23:27.769012+00,2026-06-08 16:23:27.876745+00,0.107733,0.261582,
2454d809-a11d-4524-a027-d32934657f31,numbered,77077,completed,sold,1,2026-06-08 16:23:27.628172+00,2026-06-08 16:23:27.865512+00,2026-06-08 16:23:27.970216+00,0.104704,0.342044,
