timestamp_utc,elapsed_seconds,run_id,rabbit_ready,rabbit_unacked,rabbit_total,rabbit_consumers,rabbit_publish_rate,rabbit_deliver_rate,rabbit_ack_rate,worker_desired,worker_running,worker_pending,scaler_desired,scaler_running,scaler_pending
2026-06-08T17:38:56.1507718Z,0.015,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:39:04.6351186Z,8.499,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:39:12.6915434Z,16.556,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:39:20.8296398Z,24.694,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:39:28.8084570Z,32.672,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:39:36.5094624Z,40.373,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:39:44.2946988Z,48.159,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:39:52.0784250Z,55.942,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,1.4,1.4,1.4,1,1,0,0,0,0
2026-06-08T17:39:59.8266914Z,63.691,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,65,1,66,1,60.6,7.8,7.8,1,1,0,0,0,0
2026-06-08T17:40:07.6120959Z,71.476,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,378,1,379,1,40.6,6.8,6.8,1,1,0,0,0,0
2026-06-08T17:40:15.4598570Z,79.324,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,555,1,556,1,0,7.8,7.8,1,1,0,0,0,0
2026-06-08T17:40:23.2408066Z,87.105,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,518,1,519,1,0,7.8,7.8,1,1,0,0,0,0
2026-06-08T17:40:31.3014290Z,95.165,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,438,1,439,1,0,7.8,7.8,1,1,0,0,0,0
2026-06-08T17:40:39.0745373Z,102.939,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,358,1,359,1,0,8,8,1,1,0,0,0,0
2026-06-08T17:40:46.9708275Z,110.835,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,318,1,319,1,0,7.8,7.8,1,1,0,0,0,0
2026-06-08T17:40:54.9467472Z,118.811,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,238,1,239,1,0,7.8,7.8,1,1,0,0,0,0
2026-06-08T17:41:02.9695491Z,126.834,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,198,1,199,1,0,7.8,7.8,1,1,0,0,0,0
2026-06-08T17:41:10.8243939Z,134.688,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,121,1,122,1,0,7.8,7.8,1,1,0,0,0,0
2026-06-08T17:41:18.6894729Z,142.553,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,41,1,42,1,0,7.8,7.8,1,1,0,0,0,0
2026-06-08T17:41:26.4867760Z,150.351,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,4.8,5,1,1,0,0,0,0
2026-06-08T17:41:34.5975401Z,158.462,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:41:42.5334814Z,166.397,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:41:50.3745646Z,174.239,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:41:58.1127854Z,181.977,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:42:05.8536665Z,189.718,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:42:13.6528984Z,197.517,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:42:21.4141457Z,205.278,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
2026-06-08T17:42:29.2013433Z,213.065,f029fc7a-49b8-4c91-91c6-f1ecdd53d24f,0,0,0,1,0,0,0,1,1,0,0,0,0
